,epoch,iters,G_lr,D_lr,G_L1,G_GAN,G_total,D_loss,time,random_seed
3,5,400,0.00019801980198019803,0.00019801980198019803,18.950916290283203,2.4180829524993896,21.368999481201172,0.877309262752533,0 days 00:10:33.479745000,9678
0,6,100,0.00019801980198019803,0.00019801980198019803,33.67924499511719,1.9881643056869507,35.66740798950195,0.3966943919658661,0 days 00:11:00.264210000,9678
1,6,200,0.00019801980198019803,0.00019801980198019803,30.66014289855957,1.7801560163497925,32.44029998779297,0.3501437306404114,0 days 00:11:26.098038000,9678
2,6,300,0.00019801980198019803,0.00019801980198019803,30.789657592773438,1.580543041229248,32.370201110839844,0.18165308237075806,0 days 00:11:51.086742000,9678
3,6,400,0.00019801980198019803,0.00019801980198019803,32.79130935668945,1.8461816310882568,34.637489318847656,0.11012010276317596,0 days 00:12:17.774849000,9678
0,7,100,0.00019801980198019803,0.00019801980198019803,27.9643497467041,2.507312536239624,30.471662521362305,0.2544647455215454,0 days 00:12:44.767833000,9678
1,7,200,0.00019801980198019803,0.00019801980198019803,33.78276443481445,2.4950053691864014,36.27777099609375,0.5291880369186401,0 days 00:13:09.378956000,9678
2,7,300,0.00019801980198019803,0.00019801980198019803,42.07008743286133,2.5863122940063477,44.65639877319336,0.18335244059562683,0 days 00:13:35.869718000,9678
3,7,400,0.00019801980198019803,0.00019801980198019803,37.44289016723633,2.3987913131713867,39.84168243408203,0.06603440642356873,0 days 00:14:02.452124000,9678
0,8,100,0.00019801980198019803,0.00019801980198019803,25.36219024658203,1.858546495437622,27.22073745727539,0.14311814308166504,0 days 00:14:28.816396000,9678
1,8,200,0.00019801980198019803,0.00019801980198019803,28.193260192871094,2.5727994441986084,30.76605987548828,0.22396132349967957,0 days 00:14:55.163037000,9678
2,8,300,0.00019801980198019803,0.00019801980198019803,33.46306228637695,2.9751405715942383,36.438201904296875,0.12333769351243973,0 days 00:15:21.473090000,9678
3,8,400,0.00019801980198019803,0.00019801980198019803,31.188770294189453,3.038036823272705,34.226806640625,0.44456496834754944,0 days 00:15:47.984008000,9678
0,9,100,0.00019801980198019803,0.00019801980198019803,42.40723419189453,1.4870941638946533,43.89432907104492,0.4483301341533661,0 days 00:16:15.091914000,9678
1,9,200,0.00019801980198019803,0.00019801980198019803,36.24374771118164,2.3188412189483643,38.56258773803711,0.2910560071468353,0 days 00:16:42.011401000,9678
2,9,300,0.00019801980198019803,0.00019801980198019803,34.39574432373047,1.3954092264175415,35.79115295410156,1.1520209312438965,0 days 00:17:06.705359000,9678
3,9,400,0.00019801980198019803,0.00019801980198019803,31.398740768432617,2.289456844329834,33.68819808959961,0.45623236894607544,0 days 00:17:33.113709000,9678
0,10,100,0.00019801980198019803,0.00019801980198019803,29.72887420654297,3.103577136993408,32.83245086669922,0.07553879916667938,0 days 00:17:59.894260000,9678
