,epoch,iters,G_L1,G_GAN,G_total,D_loss,time,random_seed
1,7,200,35.09541702270508,1.9822357892990112,37.07765197753906,0.7054640054702759,0 days 00:12:35.232921000,9678
2,7,300,44.80261993408203,2.1301486492156982,46.932769775390625,0.12646576762199402,0 days 00:13:01.363289000,9678
3,7,400,37.3636474609375,2.7896952629089355,40.153343200683594,0.05236954241991043,0 days 00:13:27.308161000,9678
0,8,100,25.76531219482422,3.2698092460632324,29.03512191772461,0.12792734801769257,0 days 00:13:53.009696000,9678
1,8,200,25.083696365356445,3.055778741836548,28.139474868774414,0.16630885004997253,0 days 00:14:17.611878000,9678
2,8,300,34.61852264404297,1.851505160331726,36.470027923583984,0.1679052710533142,0 days 00:14:42.295059000,9678
3,8,400,28.915456771850586,3.1534342765808105,32.06888961791992,0.3932443857192993,0 days 00:15:06.923024000,9678
0,9,100,43.811283111572266,2.0440611839294434,45.855342864990234,0.2677912712097168,0 days 00:15:32.779938000,9678
1,9,200,34.71576690673828,2.3385720252990723,37.05434036254883,0.24775388836860657,0 days 00:15:57.241966000,9678
2,9,300,33.309696197509766,1.2933003902435303,34.602996826171875,1.0454773902893066,0 days 00:16:21.635842000,9678
3,9,400,32.0999755859375,3.003326177597046,35.103302001953125,0.3190496861934662,0 days 00:16:45.965613000,9678
0,10,100,31.480915069580078,3.102262258529663,34.58317565917969,0.03805611655116081,0 days 00:17:11.261387000,9678
1,10,200,47.86521530151367,2.351080894470215,50.2162971496582,0.4213998317718506,0 days 00:17:35.705813000,9678
2,10,300,34.09249496459961,2.6686463356018066,36.76114273071289,0.6636209487915039,0 days 00:18:00.716750000,9678
3,10,400,30.61639976501465,1.7710468769073486,32.387447357177734,0.12512481212615967,0 days 00:18:26.814533000,9678
0,11,100,25.192001342773438,2.282334566116333,27.474336624145508,0.7145528793334961,0 days 00:18:52.654970000,9678
1,11,200,26.527305603027344,1.778861403465271,28.306167602539062,0.1617884784936905,0 days 00:19:17.377216000,9678
2,11,300,27.62375831604004,3.745173692703247,31.368932723999023,0.044292863458395004,0 days 00:19:42.071694000,9678
3,11,400,27.898195266723633,1.326842188835144,29.22503662109375,0.45778387784957886,0 days 00:20:07.136215000,9678
0,12,100,34.15523910522461,2.1017894744873047,36.25702667236328,0.294097363948822,0 days 00:20:32.932120000,9678
1,12,200,47.30149841308594,1.1612077951431274,48.46270751953125,0.10378462821245193,0 days 00:20:57.474060000,9678
2,12,300,17.80915069580078,2.706218719482422,20.515369415283203,0.3307895064353943,0 days 00:21:22.326429000,9678
3,12,400,38.74355697631836,1.9763914346694946,40.719947814941406,0.6339173316955566,0 days 00:21:46.844143000,9678
0,13,100,29.140960693359375,1.9704735279083252,31.111434936523438,0.79250168800354,0 days 00:22:12.453849000,9678
1,13,200,38.92986297607422,2.643808126449585,41.57366943359375,0.6198285818099976,0 days 00:22:37.196582000,9678
2,13,300,26.001205444335938,1.2088489532470703,27.210054397583008,0.4059731960296631,0 days 00:23:01.667061000,9678
